City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,81.68,scattered clouds,-0.6,73.0833,Scoop Guest House
2,Seddon,AU,79.81,scattered clouds,-37.8068,144.8916,Footscray Motor Inn
13,Banda Aceh,ID,79.86,heavy intensity rain,5.5577,95.3222,Sulthan Hotel International
25,Rikitea,PF,76.69,clear sky,-23.1203,-134.9692,People ThankYou
27,Bandarbeyla,SO,76.62,few clouds,9.4942,50.8122,JABIR HOTEL
34,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
43,Savannah Bight,HN,78.87,broken clouds,16.45,-85.85,Villa on Dunbar Rock
57,Sri Aman,MY,82.45,few clouds,1.2376,111.4621,Seri Simanggang Hotel
61,Pangkalanbuun,ID,82.27,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
65,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
72,Atuona,PF,78.53,clear sky,-9.8,-139.0333,Villa Enata
76,Ewa Beach,US,82.35,few clouds,21.3156,-158.0072,Uncle Junior Robert
84,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
85,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
90,Conakry,GN,82.08,broken clouds,9.538,-13.6773,Riviera Royal Hotel
94,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
96,Mtwara,TZ,78.24,overcast clouds,-10.2667,40.1833,TIL Hotels Mtwara
99,Kavieng,PG,83.77,light rain,-2.5744,150.7967,Nusa Island Retreat
105,Kapoeta,SS,78.28,few clouds,4.7717,33.5903,Eastgate Hotel
107,Gizo,SB,85.39,light rain,-8.103,156.8419,Imagination Island
113,Bengkulu,ID,80.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
121,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
123,Vanimo,PG,85.59,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
124,Cabo San Lucas,MX,75.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
127,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
134,Butaritari,KI,81.68,light rain,3.0707,172.7902,Isles Sunset Lodge
137,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
139,Soyo,AO,78.1,overcast clouds,-6.1349,12.3689,Hotel Mpampa
144,Imbituba,BR,75.09,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
145,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
