City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,66.04,70,28,18.14,scattered clouds
1,Hithadhoo,MV,-0.6,73.0833,81.68,76,33,18.48,scattered clouds
2,Seddon,AU,-37.8068,144.8916,79.81,36,40,11.5,scattered clouds
3,Bud,US,39.447,-86.1758,31.98,58,0,6.96,clear sky
4,Ushuaia,AR,-54.8,-68.3,38.86,93,75,16.11,light rain
5,Qaanaaq,GL,77.484,-69.3632,-7.47,67,7,8.28,clear sky
6,Castro,BR,-24.7911,-50.0119,66.27,68,100,2.08,overcast clouds
7,Severnyy,RU,50.677,36.5532,44.64,100,90,11.18,mist
8,Port Alfred,ZA,-33.5906,26.891,63.73,83,27,11.1,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,24.16,light intensity shower rain
10,Agadez,NE,19.75,10.25,67.84,23,28,0.78,scattered clouds
11,Douglas,US,41.3,-96.167,40.87,62,1,3.44,clear sky
12,Ostrovnoy,RU,68.0531,39.5131,15.04,77,97,10.18,overcast clouds
13,Banda Aceh,ID,5.5577,95.3222,79.86,77,98,0.4,heavy intensity rain
14,Bluff,NZ,-46.6,168.3333,58.46,68,68,18.81,broken clouds
15,Torres,BR,-29.3353,-49.7269,69.26,93,100,5.14,overcast clouds
16,Katsuura,JP,35.1333,140.3,51.91,47,98,8.5,overcast clouds
17,Nuuk,GL,64.1835,-51.7216,41.61,81,75,25.32,broken clouds
18,Kings Park,US,40.8862,-73.2573,40.39,86,90,0.0,overcast clouds
19,Kalmar,SE,56.6616,16.3616,33.73,86,40,8.05,scattered clouds
20,Jamestown,US,42.097,-79.2353,33.39,100,90,4.61,snow
21,Mar Del Plata,AR,-38.0023,-57.5575,62.62,100,90,11.5,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,70.68,30,5,7.45,clear sky
23,Sovetskaya Gavan,RU,48.9723,140.2878,28.85,78,100,2.95,overcast clouds
24,Boende,CD,-0.2167,20.8667,70.99,93,100,1.57,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,76.69,72,0,18.05,clear sky
26,Hobart,AU,-42.8794,147.3294,64.26,59,20,14.97,few clouds
27,Bandarbeyla,SO,9.4942,50.8122,76.62,77,24,16.24,few clouds
28,Urumqi,CN,43.801,87.6005,11.35,85,1,2.24,clear sky
29,Riyadh,SA,24.6877,46.7219,55.54,36,0,6.53,clear sky
30,Mossendjo,CG,-2.9506,12.7261,68.99,99,99,0.76,light rain
31,Provideniya,RU,64.3833,-173.3,-2.09,55,0,11.18,clear sky
32,Cidreira,BR,-30.1811,-50.2056,71.11,89,100,12.01,overcast clouds
33,Bayana,IN,26.9,77.2833,61.23,57,47,3.09,scattered clouds
34,Kapaa,US,22.0752,-159.319,80.58,69,20,18.41,light rain
35,Chabahar,IR,25.2919,60.643,71.42,79,0,8.48,clear sky
36,Carnarvon,AU,-24.8667,113.6333,84.27,58,0,20.71,clear sky
37,Christchurch,NZ,-43.5333,172.6333,70.0,68,3,10.36,clear sky
38,Pokhara,NP,28.2333,83.9833,57.99,45,100,4.16,overcast clouds
39,Thunder Bay,CA,48.4001,-89.3168,26.58,63,90,4.61,overcast clouds
40,Barrow,US,71.2906,-156.7887,-14.78,70,20,11.5,few clouds
41,Bethel,US,41.3712,-73.414,34.16,80,20,0.0,few clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,90,21.85,light snow
43,Savannah Bight,HN,16.45,-85.85,78.87,77,66,7.92,broken clouds
44,Hermanus,ZA,-34.4187,19.2345,61.59,89,99,5.66,overcast clouds
